2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.617 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.618 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 0 i: 0 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 0 i: 1 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 0 i: 2 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.619 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 0 i: 0 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 0 i: 1 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 0 i: 2 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.620 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 0 i: 0 
2018-04-22 21:40:47.621 INFO  [main] - r: 1 g: 0 i: 1 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 0 i: 2 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 1 i: 0 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 1 i: 1 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 1 i: 2 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 0 i: 0 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 0 i: 1 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 0 i: 2 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 2 i: 0 
2018-04-22 21:40:47.622 INFO  [main] - r: 1 g: 2 i: 1 
2018-04-22 21:40:47.623 INFO  [main] - r: 1 g: 2 i: 2 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 1 i: 0 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 1 i: 1 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 1 i: 2 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 0 i: 0 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 0 i: 1 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 0 i: 2 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 0 i: 0 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 0 i: 1 
2018-04-22 21:40:47.623 INFO  [main] - r: 2 g: 0 i: 2 
2018-04-22 21:40:47.624 INFO  [main] - r: 2 g: 0 i: 0 
2018-04-22 21:40:47.624 INFO  [main] - r: 2 g: 0 i: 1 
2018-04-22 21:40:47.626 INFO  [main] - r: 2 g: 0 i: 2 
2018-04-22 21:40:47.626 INFO  [main] - r: 2 g: 1 i: 0 
2018-04-22 21:40:47.626 INFO  [main] - r: 2 g: 1 i: 1 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 1 i: 2 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 0 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 1 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 2 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 0 
2018-04-22 21:40:47.627 INFO  [main] - r: 2 g: 2 i: 1 
